Rank   Exmpl   DevAcc           ngram_order           kn_discount         laplace_alpha     min_context_count          max_contexts
-----------------------------------------------------------------------------------------------------------------------------------
   1   10/13   0.6370                     7                   0.5                  0.01                     2               1000000
   2   10/13   0.6370                     7                   0.5                   0.1                     2               1000000
   3   10/13   0.6370                     7                   0.5                   1.0                     2               1000000
   4   10/13   0.6370                     7                   0.5                  0.01                     3               1000000
   5   10/13   0.6370                     7                   0.5                   0.1                     3               1000000
   6   10/13   0.6370                     7                   0.5                   1.0                     3               1000000
   7   10/13   0.6370                     7                   0.5                  0.01                     5               1000000
   8   10/13   0.6370                     7                   0.5                   0.1                     5               1000000
   9   10/13   0.6370                     7                   0.5                   1.0                     5               1000000
  10   10/13   0.6360                     7                  0.75                  0.01                     2               1000000
  11   10/13   0.6360                     7                  0.75                   0.1                     2               1000000
  12   10/13   0.6360                     7                  0.75                   1.0                     2               1000000
  13   10/13   0.6360                     7                   0.9                  0.01                     2               1000000
  14   10/13   0.6360                     7                   0.9                   0.1                     2               1000000
  15   10/13   0.6360                     7                   0.9                   1.0                     2               1000000
  16   10/13   0.6360                     7                  0.75                  0.01                     3               1000000
  17   10/13   0.6360                     7                  0.75                   0.1                     3               1000000
  18   10/13   0.6360                     7                  0.75                   1.0                     3               1000000
  19   10/13   0.6360                     7                   0.9                  0.01                     3               1000000
  20   10/13   0.6360                     7                   0.9                   0.1                     3               1000000
  21   10/13   0.6360                     7                   0.9                   1.0                     3               1000000
  22   10/13   0.6360                     7                  0.75                  0.01                     5               1000000
  23   10/13   0.6360                     7                  0.75                   0.1                     5               1000000
  24   10/13   0.6360                     7                  0.75                   1.0                     5               1000000
  25   10/13   0.6360                     7                   0.9                  0.01                     5               1000000
  26   10/13   0.6360                     7                   0.9                   0.1                     5               1000000
  27   10/13   0.6360                     7                   0.9                   1.0                     5               1000000
  28   10/13   0.6310                     6                  0.75                  0.01                     2               1000000
  29   10/13   0.6310                     6                  0.75                   0.1                     2               1000000
  30   10/13   0.6310                     6                  0.75                   1.0                     2               1000000
  31   10/13   0.6310                     6                   0.9                  0.01                     2               1000000
  32   10/13   0.6310                     6                   0.9                   0.1                     2               1000000
  33   10/13   0.6310                     6                   0.9                   1.0                     2               1000000
  34   10/13   0.6310                     6                  0.75                  0.01                     3               1000000
  35   10/13   0.6310                     6                  0.75                   0.1                     3               1000000
  36   10/13   0.6310                     6                  0.75                   1.0                     3               1000000
  37   10/13   0.6310                     6                   0.9                  0.01                     3               1000000
  38   10/13   0.6310                     6                   0.9                   0.1                     3               1000000
  39   10/13   0.6310                     6                   0.9                   1.0                     3               1000000
  40   10/13   0.6310                     6                  0.75                  0.01                     5               1000000
  41   10/13   0.6310                     6                  0.75                   0.1                     5               1000000
  42   10/13   0.6310                     6                  0.75                   1.0                     5               1000000
  43   10/13   0.6310                     6                   0.9                  0.01                     5               1000000
  44   10/13   0.6310                     6                   0.9                   0.1                     5               1000000
  45   10/13   0.6310                     6                   0.9                   1.0                     5               1000000
  46   10/13   0.6310                     8                   0.5                  0.01                     2               1000000
  47   10/13   0.6310                     8                   0.5                   0.1                     2               1000000
  48   10/13   0.6310                     8                   0.5                   1.0                     2               1000000
  49   10/13   0.6310                     8                  0.75                  0.01                     2               1000000
  50   10/13   0.6310                     8                  0.75                   0.1                     2               1000000
  51   10/13   0.6310                     8                  0.75                   1.0                     2               1000000
  52   10/13   0.6310                     8                   0.9                  0.01                     2               1000000
  53   10/13   0.6310                     8                   0.9                   0.1                     2               1000000
  54   10/13   0.6310                     8                   0.9                   1.0                     2               1000000
  55   10/13   0.6310                     8                   0.5                  0.01                     3               1000000
  56   10/13   0.6310                     8                   0.5                   0.1                     3               1000000
  57   10/13   0.6310                     8                   0.5                   1.0                     3               1000000
  58   10/13   0.6310                     8                  0.75                  0.01                     3               1000000
  59   10/13   0.6310                     8                  0.75                   0.1                     3               1000000
  60   10/13   0.6310                     8                  0.75                   1.0                     3               1000000
  61   10/13   0.6310                     8                   0.9                  0.01                     3               1000000
  62   10/13   0.6310                     8                   0.9                   0.1                     3               1000000
  63   10/13   0.6310                     8                   0.9                   1.0                     3               1000000
  64   10/13   0.6310                     8                   0.5                  0.01                     5               1000000
  65   10/13   0.6310                     8                   0.5                   0.1                     5               1000000
  66   10/13   0.6310                     8                   0.5                   1.0                     5               1000000
  67   10/13   0.6310                     8                  0.75                  0.01                     5               1000000
  68   10/13   0.6310                     8                  0.75                   0.1                     5               1000000
  69   10/13   0.6310                     8                  0.75                   1.0                     5               1000000
  70   10/13   0.6310                     8                   0.9                  0.01                     5               1000000
  71   10/13   0.6310                     8                   0.9                   0.1                     5               1000000
  72   10/13   0.6310                     8                   0.9                   1.0                     5               1000000
  73   10/13   0.6300                     6                   0.5                  0.01                     2               1000000
  74   10/13   0.6300                     6                   0.5                   0.1                     2               1000000
  75   10/13   0.6300                     6                   0.5                   1.0                     2               1000000
  76   10/13   0.6300                     6                   0.5                  0.01                     3               1000000
  77   10/13   0.6300                     6                   0.5                   0.1                     3               1000000
  78   10/13   0.6300                     6                   0.5                   1.0                     3               1000000
  79   10/13   0.6300                     6                   0.5                  0.01                     5               1000000
  80   10/13   0.6300                     6                   0.5                   0.1                     5               1000000
  81   10/13   0.6300                     6                   0.5                   1.0                     5               1000000
  82   11/13   0.6110                     7                   0.5                  0.01                     2                500000
  83   11/13   0.6110                     7                   0.5                   0.1                     2                500000
  84   11/13   0.6110                     7                   0.5                   1.0                     2                500000
  85   11/13   0.6110                     7                  0.75                  0.01                     2                500000
  86   11/13   0.6110                     7                  0.75                   0.1                     2                500000
  87   11/13   0.6110                     7                  0.75                   1.0                     2                500000
  88   11/13   0.6110                     7                   0.9                  0.01                     2                500000
  89   11/13   0.6110                     7                   0.9                   0.1                     2                500000
  90   11/13   0.6110                     7                   0.9                   1.0                     2                500000
  91   11/13   0.6110                     7                   0.5                  0.01                     3                500000
  92   11/13   0.6110                     7                   0.5                   0.1                     3                500000
